chinese_title,english_title,author,repo_name,description,topics,category,category_topic,kindle_url,books_tw_url
諮商與心理治療,Theory and Practice of Counseling and Psychotherapy,Gerald Corey,theory-and-practice-of-counseling-and-psychotherapy,Theory and Practice of Counseling and Psychotherapy | Gerald Corey | Comprehensive guide to major counseling and psychotherapy theories,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=Theory%20Practice%20Counseling%20Psychotherapy%20Gerald%20Corey,https://www.books.com.tw/web/sys_serch/?item=%E8%AB%AE%E5%95%86%E8%88%87%E5%BF%83%E7%90%86%E6%B2%BB%E7%99%82
"理查年鑑,精華珍藏版",Poor Richard's Almanack,Benjamin Franklin,poor-richards-almanack,Poor Richard's Almanack | Benjamin Franklin | Timeless wisdom and practical advice from Benjamin Franklin's classic almanac,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=Poor%20Richard%27s%20Almanack%20Benjamin%20Franklin,https://www.books.com.tw/web/sys_serch/?item=%E7%90%86%E6%9F%A5%E5%B9%B4%E9%91%91%2C%E7%B2%BE%E8%8F%AF%E7%8F%8D%E8%97%8F%E7%89%88
潛意識正在控制你的行為,Subliminal,Leonard Mlodinow,subliminal,Subliminal | Leonard Mlodinow | How your unconscious mind rules your behavior through hidden mental processes,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=Subliminal%20Leonard%20Mlodinow,https://www.books.com.tw/web/sys_serch/?item=%E6%BD%9B%E6%84%8F%E8%AD%98%E6%AD%A3%E5%9C%A8%E6%8E%A7%E5%88%B6%E4%BD%A0%E7%9A%84%E8%A1%8C%E7%82%BA
與自己對話,Self-Talk,Shad Helmstetter,self-talk,Self-Talk | Shad Helmstetter | The powerful program for self-talk and personal transformation through positive mental programming,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=What%20to%20Say%20When%20You%20Talk%20to%20Yourself%20Helmstetter,https://www.books.com.tw/web/sys_serch/?item=%E8%88%87%E8%87%AA%E5%B7%B1%E5%B0%8D%E8%A9%B1
煩惱都是自己想出來的,Worries Are Self-Created,未知,worries-are-self-created,Worries Are Self-Created | Understanding how we create our own worries and learning to break free from anxious thinking,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=%E7%85%A9%E6%83%B1%E9%83%BD%E6%98%AF%E8%87%AA%E5%B7%B1%E6%83%B3%E5%87%BA%E4%BE%86%E7%9A%84,https://www.books.com.tw/web/sys_serch/?item=%E7%85%A9%E6%83%B1%E9%83%BD%E6%98%AF%E8%87%AA%E5%B7%B1%E6%83%B3%E5%87%BA%E4%BE%86%E7%9A%84
最珍貴的教養,The Most Precious Parenting,未知,the-most-precious-parenting,The Most Precious Parenting | Essential wisdom on raising children with love values and emotional intelligence,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=%E6%9C%80%E7%8F%8D%E8%B2%B4%E7%9A%84%E6%95%99%E9%A4%8A,https://www.books.com.tw/web/sys_serch/?item=%E6%9C%80%E7%8F%8D%E8%B2%B4%E7%9A%84%E6%95%99%E9%A4%8A
陪你走一程,Walking With You,未知,walking-with-you,Walking With You | The art of being present and supporting others through life's journey with empathy,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=%E9%99%AA%E4%BD%A0%E8%B5%B0%E4%B8%80%E7%A8%8B,https://www.books.com.tw/web/sys_serch/?item=%E9%99%AA%E4%BD%A0%E8%B5%B0%E4%B8%80%E7%A8%8B
被討厭的勇氣,The Courage to Be Disliked,"岸見一郎, 古賀史健",the-courage-to-be-disliked,"The Courage to Be Disliked | 岸見一郎, 古賀史健 | How to free yourself change your life through Adlerian psychology principles",growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=The%20Courage%20to%20Be%20Disliked,https://www.books.com.tw/web/sys_serch/?item=%E8%A2%AB%E8%A8%8E%E5%8E%AD%E7%9A%84%E5%8B%87%E6%B0%A3
被討厭的勇氣 二部曲,The Courage to Be Happy,"岸見一郎, 古賀史健",the-courage-to-be-happy,"The Courage to Be Happy | 岸見一郎, 古賀史健 | True freedom comes from self-acceptance through Adlerian psychology sequel",growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=The%20Courage%20to%20Be%20Happy,https://www.books.com.tw/web/sys_serch/?item=%E8%A2%AB%E8%A8%8E%E5%8E%AD%E7%9A%84%E5%8B%87%E6%B0%A3%20%E4%BA%8C%E9%83%A8%E6%9B%B2
"探索人格潛能,看見更真實的自己",Discovering Your Personality Potential,未知,discovering-your-personality-potential,Discovering Your Personality Potential | Understanding and developing your true personality to unlock hidden potential,growth-book-summary book-summary,心理建設,growth-book-summary,https://www.amazon.com/s?k=%E6%8E%A2%E7%B4%A2%E4%BA%BA%E6%A0%BC%E6%BD%9B%E8%83%BD,https://www.books.com.tw/web/sys_serch/?item=%E6%8E%A2%E7%B4%A2%E4%BA%BA%E6%A0%BC%E6%BD%9B%E8%83%BD%2C%E7%9C%8B%E8%A6%8B%E6%9B%B4%E7%9C%9F%E5%AF%A6%E7%9A%84%E8%87%AA%E5%B7%B1
