chinese_title,english_title,author,repo_name,description,topics,category,category_topic,kindle_url,books_tw_url
做自己的生命設計師,Designing Your Life,"Bill Burnett, Dave Evans",designing-your-life,"Designing Your Life | Bill Burnett, Dave Evans | How to build a well-lived joyful life using design thinking principles",growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=Designing%20Your%20Life%20Burnett%20Evans,https://www.books.com.tw/web/sys_serch/?item=%E5%81%9A%E8%87%AA%E5%B7%B1%E7%9A%84%E7%94%9F%E5%91%BD%E8%A8%AD%E8%A8%88%E5%B8%AB
"時間,越用越有價值",Time Smart,Ashley Whillans,time-smart,Time Smart | Ashley Whillans | How to reclaim your time and live a happier life through better time management,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=Time%20Smart%20Ashley%20Whillans,https://www.books.com.tw/web/sys_serch/?item=%E6%99%82%E9%96%93%2C%E8%B6%8A%E7%94%A8%E8%B6%8A%E6%9C%89%E5%83%B9%E5%80%BC
原子習慣,Atomic Habits,James Clear,atomic-habits,Atomic Habits | James Clear | An easy and proven way to build good habits and break bad ones through tiny changes,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=Atomic%20Habits%20James%20Clear,https://www.books.com.tw/web/sys_serch/?item=%E5%8E%9F%E5%AD%90%E7%BF%92%E6%85%A3
恆毅力:人生成功的究極能力,Grit,Angela Duckworth,grit,Grit | Angela Duckworth | The power of passion and perseverance for achieving long-term goals and success,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=Grit%20Angela%20Duckworth,https://www.books.com.tw/web/sys_serch/?item=%E6%81%86%E6%AF%85%E5%8A%9B%3A%E4%BA%BA%E7%94%9F%E6%88%90%E5%8A%9F%E7%9A%84%E7%A9%B6%E6%A5%B5%E8%83%BD%E5%8A%9B
哈佛菁英課,Harvard's Elite Course,未知,harvards-elite-course,Harvard's Elite Course | Essential lessons from Harvard on achieving excellence and success in life and career,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=%E5%93%88%E4%BD%9B%E8%8F%81%E8%8B%B1%E8%AA%B2,https://www.books.com.tw/web/sys_serch/?item=%E5%93%88%E4%BD%9B%E8%8F%81%E8%8B%B1%E8%AA%B2
哈佛教你做好自我管理,HBR Guide to Getting the Right Work Done,Harvard Business Review,hbr-guide-to-getting-the-right-work-done,HBR Guide to Getting the Right Work Done | Harvard Business Review | Essential self-management strategies for peak performance,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=HBR%20Guide%20Getting%20Right%20Work%20Done,https://www.books.com.tw/web/sys_serch/?item=%E5%93%88%E4%BD%9B%E6%95%99%E4%BD%A0%E5%81%9A%E5%A5%BD%E8%87%AA%E6%88%91%E7%AE%A1%E7%90%86
刻意練習,Peak,"Anders Ericsson, Robert Pool",peak,"Peak | Anders Ericsson, Robert Pool | Secrets from the new science of expertise through deliberate practice and focused training",growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=Peak%20Anders%20Ericsson%20deliberate%20practice,https://www.books.com.tw/web/sys_serch/?item=%E5%88%BB%E6%84%8F%E7%B7%B4%E7%BF%92
每天最重要的2小時,Two Awesome Hours,Josh Davis,two-awesome-hours,Two Awesome Hours | Josh Davis | Science-based strategies to harness your best time and get your most important work done,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=Two%20Awesome%20Hours%20Josh%20Davis,https://www.books.com.tw/web/sys_serch/?item=%E6%AF%8F%E5%A4%A9%E6%9C%80%E9%87%8D%E8%A6%81%E7%9A%842%E5%B0%8F%E6%99%82
你要如何衡量你的人生,How Will You Measure Your Life,Clayton M. Christensen,how-will-you-measure-your-life,How Will You Measure Your Life | Clayton M. Christensen | Applying business principles to find meaning and happiness in life,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=How%20Will%20You%20Measure%20Your%20Life%20Christensen,https://www.books.com.tw/web/sys_serch/?item=%E4%BD%A0%E8%A6%81%E5%A6%82%E4%BD%95%E8%A1%A1%E9%87%8F%E4%BD%A0%E7%9A%84%E4%BA%BA%E7%94%9F
成功不再跌跌撞撞,Success Without Stumbling,未知,success-without-stumbling,Success Without Stumbling | Strategic approaches to achieving success through careful planning and execution,growth-book-summary book-summary,自我管理,growth-book-summary,https://www.amazon.com/s?k=%E6%88%90%E5%8A%9F%E4%B8%8D%E5%86%8D%E8%B7%8C%E8%B7%8C%E6%92%9E%E6%92%9E,https://www.books.com.tw/web/sys_serch/?item=%E6%88%90%E5%8A%9F%E4%B8%8D%E5%86%8D%E8%B7%8C%E8%B7%8C%E6%92%9E%E6%92%9E
