chinese_title,english_title,author,repo_name,description,topics,category,category_topic,kindle_url,books_tw_url
讓好工作找上你,So Good They Can't Ignore You,Cal Newport,so-good-they-cant-ignore-you,So Good They Can't Ignore You | Cal Newport | Why skills trump passion in the quest for work you love through deliberate practice and career capital,career-development skill-building passion craftsmanship career-capital tech-book-summary book-summary,求職準備,tech-book-summary,https://www.amazon.com/s?k=So%20Good%20They%20Can%27t%20Ignore%20You%20Cal%20Newport,https://www.books.com.tw/web/sys_serch/?item=%E8%AE%93%E5%A5%BD%E5%B7%A5%E4%BD%9C%E6%89%BE%E4%B8%8A%E4%BD%A0
"程式設計師,你好",The Passionate Programmer,Chad Fowler,the-passionate-programmer,The Passionate Programmer | Chad Fowler | Creating a remarkable career in software development through strategic thinking and continuous improvement,software-career programming professional-development tech-career continuous-learning tech-book-summary book-summary,求職準備,tech-book-summary,https://www.amazon.com/s?k=The%20Passionate%20Programmer%20Chad%20Fowler,https://www.books.com.tw/web/sys_serch/?item=%E7%A8%8B%E5%BC%8F%E8%A8%AD%E8%A8%88%E5%B8%AB%2C%E4%BD%A0%E5%A5%BD
就業的終結:你的未來不屬於任何公司,The End of Jobs,Taylor Pearson,the-end-of-jobs,The End of Jobs | Taylor Pearson | Money meaning and freedom without the 9-to-5 through entrepreneurship in the connected age,entrepreneurship future-of-work freelancing career-independence self-employment tech-book-summary book-summary,求職準備,tech-book-summary,https://www.amazon.com/s?k=The%20End%20of%20Jobs%20Taylor%20Pearson,https://www.books.com.tw/web/sys_serch/?item=%E5%B0%B1%E6%A5%AD%E7%9A%84%E7%B5%82%E7%B5%90%3A%E4%BD%A0%E7%9A%84%E6%9C%AA%E4%BE%86%E4%B8%8D%E5%B1%AC%E6%96%BC%E4%BB%BB%E4%BD%95%E5%85%AC%E5%8F%B8
深度職場力,Deep Work,Cal Newport,deep-work,Deep Work | Cal Newport | Rules for focused success in a distracted world through cultivating the ability to concentrate without distraction,focus productivity concentration distraction-free valuable-work tech-book-summary book-summary,求職準備,tech-book-summary,https://www.amazon.com/s?k=Deep%20Work%20Cal%20Newport,https://www.books.com.tw/web/sys_serch/?item=%E6%B7%B1%E5%BA%A6%E8%81%B7%E5%A0%B4%E5%8A%9B
砍掉重練,The Dip,Seth Godin,the-dip,The Dip | Seth Godin | A little book that teaches you when to quit and when to stick through the strategic art of knowing when to give up,perseverance quitting success strategic-decision knowing-when-to-quit tech-book-summary book-summary,求職準備,tech-book-summary,https://www.amazon.com/s?k=The%20Dip%20Seth%20Godin,https://www.books.com.tw/web/sys_serch/?item=%E7%A0%8D%E6%8E%89%E9%87%8D%E7%B7%B4
沒人敢告訴你的MBA大揭密,The Personal MBA,Josh Kaufman,the-personal-mba,The Personal MBA | Josh Kaufman | Master the art of business without spending a fortune on business school through self-directed learning,business-education self-learning mba-alternative business-fundamentals entrepreneurship tech-book-summary book-summary,求職準備,tech-book-summary,https://www.amazon.com/s?k=The%20Personal%20MBA%20Josh%20Kaufman,https://www.books.com.tw/web/sys_serch/?item=%E6%B2%92%E4%BA%BA%E6%95%A2%E5%91%8A%E8%A8%B4%E4%BD%A0%E7%9A%84MBA%E5%A4%A7%E6%8F%AD%E5%AF%86
"沒了名片,你還剩下甚麼",Reinventing You,Dorie Clark,reinventing-you,Reinventing You | Dorie Clark | Define your brand imagine your future through strategic personal branding and professional reinvention,personal-branding career-reinvention professional-identity reputation career-transition tech-book-summary book-summary,求職準備,tech-book-summary,https://www.amazon.com/s?k=Reinventing%20You%20Dorie%20Clark,https://www.books.com.tw/web/sys_serch/?item=%E6%B2%92%E4%BA%86%E5%90%8D%E7%89%87%2C%E4%BD%A0%E9%82%84%E5%89%A9%E4%B8%8B%E7%94%9A%E9%BA%BC
如何在贏者全拿的職場中生存,The Winner Take All Society,"Robert H. Frank, Philip J. Cook",the-winner-take-all-society,"The Winner Take All Society | Robert H. Frank, Philip J. Cook | Why the few at the top get so much more than the rest of us and strategies to thrive",winner-take-all inequality career-strategy competition economic-trends tech-book-summary book-summary,求職準備,tech-book-summary,https://www.amazon.com/s?k=Winner%20Take%20All%20Society%20Frank%20Cook,https://www.books.com.tw/web/sys_serch/?item=%E5%A6%82%E4%BD%95%E5%9C%A8%E8%B4%8F%E8%80%85%E5%85%A8%E6%8B%BF%E7%9A%84%E8%81%B7%E5%A0%B4%E4%B8%AD%E7%94%9F%E5%AD%98
"世界菁英為什麼相信失敗,質疑成功?",Black Box Thinking,Matthew Syed,black-box-thinking,Black Box Thinking | Matthew Syed | Why most people never learn from their mistakes but some do through embracing failure as learning,learning-from-failure growth-mindset continuous-improvement innovation success-principles tech-book-summary book-summary,求職準備,tech-book-summary,https://www.amazon.com/s?k=Black%20Box%20Thinking%20Matthew%20Syed,https://www.books.com.tw/web/sys_serch/?item=%E4%B8%96%E7%95%8C%E8%8F%81%E8%8B%B1%E7%82%BA%E4%BB%80%E9%BA%BC%E7%9B%B8%E4%BF%A1%E5%A4%B1%E6%95%97%2C%E8%B3%AA%E7%96%91%E6%88%90%E5%8A%9F%3F
工作最重要的投資,The Startup of You,"Reid Hoffman, Ben Casnocha",the-startup-of-you,"The Startup of You | Reid Hoffman, Ben Casnocha | Adapt to the future invest in yourself and transform your career using entrepreneurial principles",career-strategy networking entrepreneurial-mindset professional-growth adaptability tech-book-summary book-summary,求職準備,tech-book-summary,https://www.amazon.com/s?k=The%20Startup%20of%20You%20Reid%20Hoffman,https://www.books.com.tw/web/sys_serch/?item=%E5%B7%A5%E4%BD%9C%E6%9C%80%E9%87%8D%E8%A6%81%E7%9A%84%E6%8A%95%E8%B3%87
